lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.394,8.084274555663487,1.35371400643009,0.44361251831344467
1.396,8.128426147512435,1.35081518539321,0.476692489948979
1.398,8.186757177697414,1.3517286083951967,0.46438373338432465
1.4,8.259686778541052,1.352714279048,0.4453663485481065
1.402,8.34800387670496,1.3541452483338399,0.4665297107928857
1.404,8.40470877237767,1.3557223769950748,0.43162105033266496
1.406,8.471130708919825,1.3554324878831803,0.4160293590850707
1.408,8.564771860583518,1.3554769558873199,0.4601649734373545
1.41,8.65705521165527,1.3554448744916066,0.46916969821533133
1.412,8.751371719105556,1.35276759022716,0.446956026707369
1.414,8.815480297171618,1.3515036530368834,0.5444337451457447
1.416,8.900595519515077,1.348822978584915,0.46998799695384996
1.418,8.985613694082295,1.34964572388382,0.5059233303599894
1.42,9.053484902689732,1.349795395429475,0.45785685274946897
1.422,9.138995365332203,1.34658855990447,0.451048276021954
1.424,9.222641719106411,1.34147648732645,0.40898975955260297
1.426,9.322456771689323,1.34039368981883,0.480255649989531
1.428,9.381401575390548,1.3407659473926201,0.450269330255643
1.43,9.476972996317143,1.3418825853129699,0.5453601808053093
1.432,9.566879537583938,1.34385429301568,0.376081166901746
1.434,9.654832091393871,1.3459694644891567,0.4997812138528321
1.436,9.723943866430648,1.3491601163535551,0.4471353313188565
1.438,9.81306983247314,1.3470663794722935,0.5240702485696547
1.44,9.905246850522948,1.3390520590466581,0.48801544594023377
1.442,10.011997962197803,1.33930371638416,0.508372625475254
1.444,10.0941647953202,1.3404469972287767,0.43589152312780866
1.446,10.166202523899454,1.3429255201554402,0.53004709486192
1.448,10.252173246098042,1.3458466025005,0.49156437518950136
1.45,10.344524449298232,1.344974805736185,0.5125118756229554
1.452,10.417094519727723,1.3416485740533168,0.5718510386833707
1.454,10.466195141668045,1.33530777652038,0.5086023745402145
1.456,10.533453131907782,1.3325335222111434,0.4655808506291947
1.458,10.655521620653866,1.33165873056109,0.574316529781668
1.46,10.733620150217941,1.33539875504687,0.59248248515278
1.462,10.826199837064616,1.34117352140979,0.6093014715456646
1.464,10.916349517870383,1.34092480825708,0.622791450130591
1.466,11.036794658500053,1.339081923390835,0.689326558778659
1.468,11.10532435889247,1.3408732599345132,0.6031399576173936
1.47,11.199976703806227,1.3315122645642,0.588519622844881
1.472,11.292631302909431,1.3254304617979467,0.5728375009586113
1.474,11.41268662352931,1.3283100138898498,0.582997381491024
1.476,11.525284932544091,1.3283564860081334,0.6218078313624124
1.478,11.619318141627863,1.33512096475468,0.624000481584654
1.48,11.705152246291092,1.3401668823026034,0.650613340977463
1.482,11.816708980862247,1.3335634655877948,0.6075294418182735
1.484,11.902569984656088,1.32503560324843,0.65608195085948
1.486,11.980569241727151,1.31964096302083,0.6277933889590019
1.488,12.067819134119992,1.3187895575247535,0.624005910105499
1.49,12.184404357258197,1.321884470216845,0.6496921344692115
1.492,12.25355218388473,1.32199761380944,0.7352572243576136
1.494,12.338814215293363,1.323893788899995,0.6993449245616945
1.497,12.431727014596982,1.3254119019393267,0.7317528966501273
1.499,12.542863261395746,1.33000595554081,0.60699497736272
1.501,12.601664938136306,1.3264372341824566,0.696525711971308
1.503,12.68831856324053,1.31830875298638,0.6409626868174245
1.505,12.7834326112916,1.3186383626609632,0.7125861997372686
1.507,12.893440561817716,1.322083535917075,0.67741386127292
1.509,12.96183951852599,1.3244852483388,0.66629735719889
1.511,13.062492308915632,1.32495637175625,0.64021115735212
1.513,13.160727283508944,1.32683159719495,0.5876328435063947
1.515,13.266682812941152,1.325039426829745,0.7025065344399104
1.517,13.342364497963267,1.31887961942824,0.6700630654105391
1.519,13.416195191266215,1.3152333592878,0.6670688409999286
1.521,13.52438066590455,1.31529444456552,0.5912457845996957
1.523,13.649307083663174,1.314649788606935,0.6614589524057005
1.525,13.733899997799101,1.31392933566349,0.7186216049549871
1.527,13.845876748629722,1.31094520532634,0.6087731839157685
1.529,13.988683500119418,1.3110033672212733,0.6550103412010143
1.531,14.13400454897751,1.311022921099275,0.6671061069869825
1.533,14.223144534976381,1.3085921230240667,0.6627200617297426
1.535,14.358295766406254,1.30508290079381,0.7036983028607435
1.537,14.503448641842901,1.3049900109193433,0.6244217630600702
1.539,14.650393830795199,1.305601511256735,0.702704532699439
1.541,14.777180266744843,1.3033886025839065,0.7128114001357463
1.543,14.93117742984483,1.300320929927415,0.6754142143001215
1.545,15.107508395766255,1.297754423985054,0.6772707046755324
1.547,15.271307100558065,1.29223521768023,0.6456297037583747
1.549,15.42343026714743,1.285611002364585,0.6358618072374409
1.551,15.601680820984605,1.2825637909686367,0.64702752751047
1.553,15.807197245997974,1.2807491569463698,0.6406017448025025
1.555,16.000930513663807,1.28035378433593,0.6549912532516223
1.557,16.174963287832522,1.2789113138909198,0.641116393748714
1.559,16.369607489388812,1.2779896028638467,0.6200764033464331
1.561,16.596737354235326,1.269871338424855,0.616623852170826
1.563,16.796614988532397,1.2634654678043833,0.5714338844616523
1.565,17.010037684449724,1.25594981763623,0.5845850080848569
1.567,17.245877397991865,1.25249857375577,0.5865720498083743
1.569,17.503584082419607,1.24775201375175,0.5779050234186991
1.571,17.72951537181001,1.2488995114395964,0.602926658078656
1.573,17.972239495113012,1.247234796643,0.5839641124597734
1.575,18.18361925059188,1.2368234069356867,0.5646586061517713
1.577,18.36036732206952,1.24267826801439,0.6038590969284554
1.579,18.495354204291335,1.2645024917570067,0.64180957006659
1.581,18.6370892451035,1.30261067795296,0.632755243337944
1.583,18.738069749621612,1.3077332806830266,0.7436633096760961
1.585,18.804553385058426,1.31885340647459,0.6243519574752325
1.587,18.854164763094403,1.3269462992329732,0.6629969672056341
1.589,18.900020843779657,1.30889983827452,0.659931858852712
1.591,18.918441489264154,1.29130699409207,0.663503129160449
