lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.572,25.781709770729005,1.5143402879401,24.8704399475393
1.573,26.098339846234932,1.5145391227144032,24.854216611272165
1.575,26.370175929249086,1.513167840217095,25.26861043067735
1.577,26.691899062197063,1.5092232312743699,24.809865148790298
1.581,26.98122945179294,1.51186586274688,25.0130285115769
1.583,27.317151129558624,1.51427184592775,25.0204831519908
1.585,27.65068996972921,1.5137300122810502,25.5388097817649
1.587,28.0200574106809,1.5155446247662765,25.193971336696467
1.589,28.486196548603175,1.516314254619655,25.210992857977203
1.591,28.909378671014803,1.51617307824315,25.314849896290497
1.593,29.325249692846757,1.51576387909072,25.02876137137305
1.595,29.688298930561672,1.51433708182601,25.5203211665573
1.599,30.071957442176082,1.51349072784276,25.382249828442397
1.601,30.492743802802448,1.5105906033632766,25.237406345960167
1.603,30.910944245510706,1.51101026521555,25.3379352879927
1.605,31.345615816169087,1.5101980390402832,25.3324675319772
1.607,31.789422447519435,1.51270433830038,25.685530424870947
1.609,32.244916844020054,1.5136582795855134,25.55141784174913
1.611,32.66531854772054,1.59153477818733,28.583961731548648
1.613,33.022666765468735,1.5650583559729168,27.479442519136935
1.617,33.34006140329215,1.5128399681440299,25.8740656484152
1.619,33.61124491264891,1.5135775920589467,25.858144648047034
1.621,33.80578716901094,1.51525067806312,25.6906136319558
1.623,34.02273178654052,1.5162814329389331,25.8784891803376
1.625,34.21328905361009,1.516295638146655,25.83277520075405
1.627,34.40067585496895,1.5164699398565997,26.060729009929002
1.629,34.555621545994605,1.51677756453073,25.85608417345945
1.631,34.58320165057346,1.51713829671184,25.784185736827
