age_weeks,animal,out_root,source_prefix,source_file,term_group,term,row_label,col_label,value_mpa,value_kpa
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0031,3.1
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0016,1.6
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0076,7.6
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0039,3.9
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0046,4.6
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0029,2.9
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0096,9.6
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0097,9.700000000000001
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0008,0.8
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0031,3.1
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_rtheta,rtheta,rtheta,0.0123,12.3
