sigma_theta_kPa,lambda_theta
15.39043781521409,1.6049129702194869
15.515563325906887,1.6049435453706358
15.640688836599685,1.6053436641074104
15.765814347292483,1.60540608803701
15.89093985798528,1.6055993554510175
16.016065368678078,1.6058776850354484
16.141190879370875,1.6061560146198794
16.266316390063672,1.6069762552589268
16.39144190075647,1.6075550816397601
16.516567411449266,1.6075963540362268
16.641692922142067,1.6076376264326933
16.766818432834864,1.6084434355656554
16.89194394352766,1.6107030411234695
17.017069454220458,1.6108140711585992
17.142194964913255,1.610869888611353
17.267320475606052,1.6109257060641071
17.39244598629885,1.6111104989591514
17.517571496991646,1.6112012186349267
17.642697007684443,1.6112595138490524
17.767822518377244,1.6113778482475754
17.89294802907004,1.6118215696524663
18.018073539762838,1.6120076544101898
18.143199050455635,1.6120758325389952
18.268324561148432,1.6121016075850874
18.39345007184123,1.6121273826311795
18.518575582534027,1.6121531576772716
18.643701093226824,1.612196668201999
18.76882660391962,1.6124675062727951
18.89395211461242,1.6126875685842355
19.01907762530522,1.6128346766803978
19.144203135998016,1.612975251892385
19.269328646690813,1.6131073155822748
19.39445415738361,1.6133296673911308
19.519579668076407,1.6134400016109098
19.644705178769204,1.6138032610251776
19.769830689462,1.6138656647152927
19.894956200154798,1.6139295120251984
20.0200817108476,1.614179571186017
20.145207221540396,1.6142438924964064
20.270332732233193,1.614338238201303
20.39545824292599,1.6145865435387845
20.520583753618787,1.6146444521902246
20.645709264311584,1.6148390050932442
20.77083477500438,1.6149866475476056
20.89596028569718,1.6151893284925303
21.021085796389976,1.6154474121832225
21.146211307082773,1.615506706476449
21.271336817775573,1.6156571553322743
21.39646232846837,1.6167275063722077
21.521587839161167,1.6167969648751588
21.646713349853965,1.61686642337811
21.77183886054676,1.616935881881061
21.89696437123956,1.6171730374932936
22.022089881932356,1.6173192786242305
22.147215392625153,1.6173879339217723
22.27234090331795,1.6176607504370561
22.39746641401075,1.61773567324777
22.522591924703548,1.6180549706109535
22.647717435396345,1.618173107043748
22.772842946089142,1.6182162652826044
22.89796845678194,1.618259423521461
23.023093967474736,1.6185827763163874
23.148219478167533,1.618672895713016
23.27334498886033,1.618708629824222
23.398470499553127,1.6187443639354275
23.523596010245928,1.6188816874748617
23.648721520938725,1.6190100157114458
23.773847031631522,1.6193508937025445
23.89897254232432,1.6195582297350029
24.024098053017116,1.6196669093674874
24.149223563709914,1.61971853106696
24.27434907440271,1.619860714365289
24.399474585095508,1.6200427546387264
24.524600095788305,1.620306020163279
24.649725606481105,1.6204735386683198
24.774851117173903,1.6207071096129468
24.8999766278667,1.6210164584236701
