age,animal,bucket,name,idx,gate,eff_w_norm,coeff_raw,sigma,source,kind
3weeks,Rosie,aniso,(<I₄z-1>)³,14.0,0.00045741,0.00028889,0.018348,0.015745,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,aniso,(<I₄D1-1>)³,15.0,0.00042118,0.00026538,0.023572,0.011258,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,aniso,(<I₄D2-1>)³,16.0,0.00042102,0.00026528,0.023564,0.011258,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,cross,<I₄z-1>·<E_z>,30.0,0.00041064,0.00025766,0.012173,0.021167,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,cross,<I₁-3>·<E_θ>,32.0,0.00040952,0.00025776,0.01412,0.018255,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,cross,<I₄z-1>·<I₄D2-1>,41.0,0.00041141,0.00025843,0.0075835,0.034077,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
3weeks,Rosie,cross,I₈D1D2,42.0,0.0045588,0.0037522,0.030195,0.12427,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_final_equation.txt,cross
8weeks,Martini,iso,<E_θ>,2.0,0.19668,0.20526,1.1535,0.17795,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
8weeks,Martini,iso,<E_z>,3.0,0.12134,0.12487,0.50237,0.24855,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
8weeks,Martini,aniso,<I₄θ-1>,5.0,0.085292,0.079235,0.22237,0.35633,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
8weeks,Martini,aniso,<I₄z-1>,6.0,0.28106,0.32058,0.64354,0.49815,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
8weeks,Martini,cross,<I₁-3>·<E_z>,33.0,0.018908,0.0161,0.0020865,7.7163,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
8weeks,Martini,cross,I₈D1D2,42.0,0.58757,0.93928,1.8125,0.51822,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runsfinal/Martini_final_equation.txt,cross
10weeks,Gus,iso_base,b_th E_θ²,,,,0.1295668387926743,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,iso_base,b_z E_z²,,,,1.4856141049563139,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,iso_base,b_θz <E_θ><E_z>,,,,0.7660469997922539,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,aniso_base,k1₀ fiber(helical+α),,,,1.6749548762128423,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,aniso_base,k1₁ fiber(helical-α),,,,1.6749548762128423,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,aniso_base,k1₂ fiber(circumferential),,,,6.125602354342694e-06,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Gus,aniso_base,k1₃ fiber(axial),,,,0.7943461341073285,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_POLY_params.txt,base
10weeks,Mojito,iso_base,b_th E_θ²,,,,0.013411757093495968,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,iso_base,b_z E_z²,,,,2.5239035506901524,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,iso_base,b_θz <E_θ><E_z>,,,,3.2365656475860938,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,aniso_base,k1₀ fiber(helical+α),,,,2.6766696181322542,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,aniso_base,k1₁ fiber(helical-α),,,,2.6766696181322542,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,aniso_base,k1₂ fiber(circumferential),,,,0.00022904894201466192,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Mojito,aniso_base,k1₃ fiber(axial),,,,0.038631169591641534,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_POLY_params.txt,base
10weeks,Pablo,iso_base,b_th E_θ²,,,,0.0009646891769027298,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,iso_base,b_z E_z²,,,,2.0369041445808023,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,iso_base,b_θz <E_θ><E_z>,,,,2.1296725801991445,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,aniso_base,k1₀ fiber(helical+α),,,,0.000959182815614496,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,aniso_base,k1₁ fiber(helical-α),,,,0.000959182815614496,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,aniso_base,k1₂ fiber(circumferential),,,,0.03691651955527048,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
10weeks,Pablo,aniso_base,k1₃ fiber(axial),,,,0.443806424298616,,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_POLY_params.txt,base
16weeks,Audi,iso_base,b_th E_θ²,,,,0.010089811003421276,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,iso_base,b_z E_z²,,,,0.965060112176499,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,iso_base,b_θz <E_θ><E_z>,,,,3.5313764613419774,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,aniso_base,k1₀ fiber(helical+α),,,,0.13155590905934433,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,aniso_base,k1₁ fiber(helical-α),,,,0.13155590905934433,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,aniso_base,k1₂ fiber(circumferential),,,,10.127962357583174,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Audi,aniso_base,k1₃ fiber(axial),,,,6.522457104176174,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runsfinal/Audi_POLY_params.txt,base
16weeks,Oreon,iso_base,b_th E_θ²,,,,0.0003618231352163616,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Oreon,iso_base,b_z E_z²,,,,0.009134695113208106,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Oreon,iso_base,b_θz <E_θ><E_z>,,,,-2.024068859150328,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
