lambda_z,sigma_z_kpa
1.47,16.641781513119547
1.47,16.71308855422181
1.47,16.735535321166047
1.472,16.759047070110707
1.472,16.778839095191262
1.474,16.799200806241572
1.474,16.852427865703067
1.474,16.9061341114095
1.474,16.98085674685415
1.474,17.054161113805055
1.476,17.12788958272521
1.476,17.200790343907343
1.476,17.212933356809433
1.478,17.22602604895525
1.478,17.266452571010447
1.48,17.307477210389024
1.48,17.333323969099
1.48,17.359398801278044
1.482,17.398867444852808
1.482,17.438033060080734
1.484,17.44222420065328
1.484,17.445007590344296
1.484,17.46248267270908
1.486,17.480397473657522
1.486,17.511476353154166
1.488,17.544189674256153
1.488,17.617724134407077
1.488,17.691040077442025
1.49,17.781332664905875
1.49,17.871500030216588
1.492,17.959008597921212
1.492,17.971835479649936
1.492,17.975716662324665
1.494,18.04518346613302
1.494,18.14217655322342
1.496,18.23223334684373
1.496,18.33362598420398
1.496,18.44017637239517
1.498,18.535397145508902
1.498,18.63180270199495
1.5,18.733120715720755
1.5,18.795136685016832
1.5,18.881221794308406
1.502,18.98921397141792
1.502,19.119454634765425
1.504,19.253748038731946
1.504,19.384190526268927
1.504,19.501837105677158
1.506,19.596649089260715
1.506,19.659847158878712
1.508,19.73709778536802
1.508,19.809398424888776
1.508,19.889376940161792
1.51,19.996178185017712
1.51,20.11975883695467
1.512,20.2450343838822
1.512,20.335038946309368
1.512,20.423332236738354
1.514,20.512048336678337
1.514,20.60611849188572
1.516,20.700104853956503
1.516,20.821312594087974
1.516,20.943207941384202
1.518,21.05509025188823
1.518,21.16652722675419
1.52,21.321232070422486
1.52,21.474787991332164
1.52,21.595152477924362
1.522,21.71643476408155
1.522,21.848490225747195
1.522,21.981748925463325
1.522,22.12449328972231
1.522,22.26698359874206
1.524,22.41700666962308
1.524,22.567146221397596
1.526,22.717516208795356
1.526,22.867290898089134
1.526,22.99321951136651
1.528,23.119252313421466
1.528,23.25558961062033
1.53,23.403868031577414
1.53,23.548008695825935
1.53,23.664023675790173
1.532,23.75588393030807
1.532,23.848333078623824
1.534,23.917839265125796
1.534,23.98012652361439
1.534,24.044629088852567
1.536,24.11198587398479
1.536,24.200892122743472
1.538,24.285045923173755
1.538,24.355570088143914
1.538,24.407452504243707
1.54,24.452173818171772
1.54,24.48268054103741
1.542,24.495602095033696
1.542,24.489777266265964
1.542,24.51838807899508
1.544,24.519109975985014
