lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.218,7.397813508489954,1.46791290811033,10.0875277228008
1.22,7.468542124739587,1.4670366869588667,10.201419478011074
1.222,7.543683978730019,1.46025950845396,10.443334951589
1.224,7.58654290336358,1.4591800678107167,9.931535172087502
1.228,7.651787632510236,1.45799741229272,10.4307078460513
1.23,7.725174978019826,1.45769046516249,10.363179248928066
1.232,7.7921929456975665,1.45840075077186,10.30670057542105
1.234,7.8501403523956945,1.4559763185472434,10.009860531385064
1.236,7.8907510445347775,1.45562754472175,10.2076635879144
1.238,7.929838270128566,1.4481941817223702,10.340154793356234
1.24,8.011203302770582,1.44833375708218,10.09510682669855
1.242,8.04845688998017,1.4703314059748298,10.707681211485854
1.246,8.095608111262116,1.53019371197663,11.3130079999249
1.248,8.139858659047984,1.43976607747037,10.144338974771733
1.25,8.21750881522618,1.44267374559698,10.2816969187164
1.252,8.26392555895705,1.4431367753187232,10.3008553666347
1.254,8.311190815592688,1.44563481338365,10.269100210415
1.256,8.38158393775321,1.4414561828955332,10.205620491553399
1.26,8.420617412307262,1.44213516450412,10.4383793327524
1.262,8.459773261582399,1.4382405288741966,10.2044600078482
1.264,8.530879846298417,1.43910847264938,10.411781602553049
1.266,8.632925682224181,1.43732950364677,10.022944128770563
1.268,8.668574421732739,1.43241615419911,9.7845398211895
1.27,8.699828790689514,1.4344230504739732,10.069464899238852
1.272,8.756067880980394,1.43903413392605,10.514414169984601
1.274,8.810312160948545,1.4288282856150267,10.149911441313234
1.276,8.868629592947649,1.42855468896918,10.1652532374667
1.28,8.948924491951605,1.4250746075194165,10.065760795031826
1.282,9.00986081691936,1.42724312736777,10.4266698604531
1.284,9.06773451921313,1.4300207973149668,10.050468910760229
1.286,9.132600450023586,1.42860568994004,10.0778123609748
1.288,9.189569140336085,1.4264166766011834,10.3480043443514
1.29,9.291120379290584,1.42972183859796,10.195778957471184
1.294,9.37590350705889,1.42497679420413,9.988948609353633
1.296,9.450535993696707,1.4277921146723,10.2280944135975
1.298,9.49138752130399,1.4204745259296334,10.3790281184094
1.3,9.545581934689883,1.41987129836561,10.159362555688649
1.302,9.593510692093968,1.41808721411604,9.96590926825067
1.304,9.647134411754267,1.42073936856371,10.315448594967975
1.306,9.697785880158722,1.4162688275529867,10.417290336379567
1.31,9.741867800439039,1.41709452668234,10.2495318025953
1.312,9.785328130411548,1.4166108131909503,10.3221920931111
1.314,9.810365562509613,1.42235203399218,10.647224429985851
1.316,9.891084028096367,1.4158071036489899,10.496684229372468
1.317,9.984757680283517,1.41717216855192,10.1073727277521
1.319,10.060213881757338,1.406391155871227,10.269699530337734
1.321,10.097878334458287,1.40130631249269,10.11263754720305
1.325,10.154366078996743,1.4087641400156568,10.059212261755626
