param,kind,n,n_ages,best_model,r2_age,aic_age,coeffs,per_age_json
base.aniso._logn_sig_raw[2.0],base_param,12,5,constant,-2.220446049250313e-16,20.48931248643824,[-3.7959874104416675],"[{""age_weeks"":3,""mean"":-3.60603802,""std"":1.824709463,""count"":2},{""age_weeks"":8,""mean"":-3.560744606,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-1.5532137488,""std"":0.7818529469,""count"":3},{""age_weeks"":16,""mean"":-5.42481501,""std"":2.5368084319,""count"":3},{""age_weeks"":28,""mean"":-4.6149806677,""std"":2.5890637878,""count"":3}]"
base.aniso._logn_sig_raw[3.0],base_param,12,5,constant,-2.220446049250313e-16,19.870120331753412,[-3.18748712075],"[{""age_weeks"":3,""mean"":-5.8502316375,""std"":4.0568521825,""count"":2},{""age_weeks"":8,""mean"":-1.513649523,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.372952298,""std"":1.9486628151,""count"":3},{""age_weeks"":16,""mean"":-3.5178557377,""std"":0.948744831,""count"":3},{""age_weeks"":28,""mean"":-2.4544361813,""std"":1.7939341259,""count"":3}]"
base.aniso._recruit_ref_stretch,base_param,12,5,constant,2.220446049250313e-16,-51.6961595846196,[1.3974676343333334],"[{""age_weeks"":3,""mean"":1.294146146,""std"":0.1946872363,""count"":2},{""age_weeks"":8,""mean"":1.422986486,""std"":null,""count"":1},{""age_weeks"":10,""mean"":1.4258489323,""std"":0.157757075,""count"":3},{""age_weeks"":16,""mean"":1.398878629,""std"":0.0176687573,""count"":3},{""age_weeks"":28,""mean"":1.42805005,""std"":0.1029420838,""count"":3}]"
base.aniso._sigma_s_raw[0.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._sigma_s_raw[1.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._sigma_s_raw[2.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._sigma_s_raw[3.0],base_param,12,5,constant,,-824.7706548957062,[-2.0000000000000004],"[{""age_weeks"":3,""mean"":-2.0,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":-2.0,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":-2.0,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":-2.0,""std"":0.0,""count"":3}]"
base.aniso._tau_raw[0.0],base_param,12,5,constant,0.0,40.70457701763726,[0.14789979367500014],"[{""age_weeks"":3,""mean"":-0.4450231692,""std"":1.3015836833,""count"":2},{""age_weeks"":8,""mean"":9.246230812,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.1974588159,""std"":2.5830770576,""count"":3},{""age_weeks"":16,""mean"":-3.288638285,""std"":3.5820598097,""count"":3},{""age_weeks"":28,""mean"":0.8973838193,""std"":8.3860708697,""count"":3}]"
base.aniso._tau_raw[1.0],base_param,12,5,constant,0.0,40.70457701763726,[0.14789979367500014],"[{""age_weeks"":3,""mean"":-0.4450231692,""std"":1.3015836833,""count"":2},{""age_weeks"":8,""mean"":9.246230812,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.1974588159,""std"":2.5830770576,""count"":3},{""age_weeks"":16,""mean"":-3.288638285,""std"":3.5820598097,""count"":3},{""age_weeks"":28,""mean"":0.8973838193,""std"":8.3860708697,""count"":3}]"
base.aniso._tau_raw[2.0],base_param,12,5,constant,0.0,14.812835169360156,[-0.2090568381333333],"[{""age_weeks"":3,""mean"":-0.7836464446,""std"":0.3726241502,""count"":2},{""age_weeks"":8,""mean"":1.154539993,""std"":null,""count"":1},{""age_weeks"":10,""mean"":1.1573904429,""std"":1.6486018695,""count"":3},{""age_weeks"":16,""mean"":-1.3427126476,""std"":2.0909422789,""count"":3},{""age_weeks"":28,""mean"":-0.5133208491,""std"":2.0411087715,""count"":3}]"
