animal,age_weeks,param,index,value,kind
Audi,16,base.aniso._lam0_raw,2.0,-2.0,base_param
Audi,16,base.aniso._lam0_raw,3.0,-2.0,base_param
Audi,16,base.aniso._lam0h_raw,0.0,-2.8,base_param
Audi,16,base.aniso._lam0h_raw,1.0,-2.8,base_param
Audi,16,base.aniso._kappa,0.0,0.03087340456,base_param
Audi,16,base.aniso._kappa,1.0,0.03087340456,base_param
Audi,16,base.aniso._tau_raw,0.0,0.5908264229,base_param
Audi,16,base.aniso._tau_raw,1.0,0.5908264229,base_param
Audi,16,base.aniso._tau_raw,2.0,-3.024387746,base_param
Audi,16,base.aniso._tau_raw,3.0,-1.15164459,base_param
Audi,16,base.aniso._sigma_s_raw,0.0,-2.0,base_param
Audi,16,base.aniso._sigma_s_raw,1.0,-2.0,base_param
Audi,16,base.aniso._sigma_s_raw,2.0,-2.0,base_param
Audi,16,base.aniso._sigma_s_raw,3.0,-2.0,base_param
Audi,16,base.aniso._lambda_lb_raw,0.0,-1.026063348,base_param
Audi,16,base.aniso._lambda_lb_raw,1.0,-1.026063348,base_param
Audi,16,base.aniso._lambda_lb_raw,2.0,-0.4541390615,base_param
Audi,16,base.aniso._lambda_lb_raw,3.0,-1.026129232,base_param
Audi,16,base.aniso._lambda_ub_raw,0.0,1.311602169,base_param
Audi,16,base.aniso._lambda_ub_raw,1.0,1.311602169,base_param
Audi,16,base.aniso._lambda_ub_raw,2.0,0.8986602,base_param
Audi,16,base.aniso._lambda_ub_raw,3.0,1.182551106,base_param
Audi,16,base.aniso._logn_mu_raw,0.0,-3.64306406,base_param
Audi,16,base.aniso._logn_mu_raw,1.0,-3.64306406,base_param
Audi,16,base.aniso._logn_mu_raw,2.0,-4.54328684,base_param
Audi,16,base.aniso._logn_mu_raw,3.0,-4.305550281,base_param
Audi,16,base.aniso._logn_sig_raw,0.0,-2.001525803,base_param
Audi,16,base.aniso._logn_sig_raw,1.0,-2.001525803,base_param
Audi,16,base.aniso._logn_sig_raw,2.0,-2.498040926,base_param
Audi,16,base.aniso._logn_sig_raw,3.0,-4.487975975,base_param
Audi,16,base.aniso._beta_a_raw,0.0,-0.87183897,base_param
Audi,16,base.aniso._beta_a_raw,1.0,-0.87183897,base_param
Audi,16,base.aniso._beta_a_raw,2.0,-0.87183897,base_param
Audi,16,base.aniso._beta_a_raw,3.0,-0.81093022,base_param
Audi,16,base.aniso._beta_b_raw,0.0,-0.5798185,base_param
Audi,16,base.aniso._beta_b_raw,1.0,-0.47000363,base_param
Audi,16,base.aniso._beta_b_raw,2.0,-0.05129329,base_param
Audi,16,base.aniso._beta_b_raw,3.0,-1.2039728,base_param
Audi,16,base.aniso._recruit_ref_stretch,,1.381868619,base_param
Audi,16,base.aniso.quad_x,0.0,0.005299,base_param
Audi,16,base.aniso.quad_x,1.0,0.027712,base_param
Audi,16,base.aniso.quad_x,2.0,0.067184,base_param
Audi,16,base.aniso.quad_x,3.0,0.122299,base_param
Audi,16,base.aniso.quad_x,4.0,0.191061,base_param
