lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.455,7.892947296888283,0.532675002791076,0.204519669522265
1.457,8.00018750807715,0.52996485224087,0.18811590097550965
1.459,8.106929309667256,0.505638695386141,0.149856145313757
1.461,8.210269181022888,0.534623557272783,0.194902513523769
1.463,8.303124458804588,0.535233886384172,0.18664863347373659
1.465,8.376254522789193,0.518123159419811,0.178724316835864
1.467,8.43615426905083,0.514581034934098,0.215090983111437
1.469,8.505818511138449,0.520572319321747,0.2136834381038935
1.471,8.559224919218682,0.519359012511658,0.18395803872454233
1.473,8.585577186574946,0.530339133057786,0.24746306200824
1.475,8.611106421036887,0.518339071824738,0.19895875794225468
1.477,8.631783632773535,0.5257675097620748,0.206806963274026
1.479,8.632632754588684,0.529255409521036,0.210026446586635
