age,animal,name,coeff_raw,rms_psi,contribution,contribution_frac
28weeks,Dodge,I₁-3,0.012798,2.057106401083927,0.0263268477210721,0.003585924859783648
28weeks,Lexus,<E_θ>,1.1852,0.711046410469208,0.8427322056881054,0.5442154310134034
28weeks,Lexus,<I₄θ-1>,0.27265,1.4253094094986547,0.3886106104998082,0.25095503584896395
28weeks,Lexus,<I₄D1-1>,0.12874,1.2171623689535682,0.15669748337908238,0.10119132493130796
28weeks,Lexus,<I₄D2-1>,0.10811,1.2171623689535682,0.13158742370757026,0.08497587492872226
28weeks,Lexus,<I₄z-1>·<E_z>,0.0093102,1.0675353402867276,0.00993896752513749,0.00641833723573484
28weeks,Lexus,I₈D1D2,0.0046148,2.102444712159154,0.009702361857672063,0.006265543199348425
28weeks,Lexus,<E_z>,0.015204,0.6089052047155441,0.009257794732495132,0.005978452842519111
28weeks,Mercedes,I₈D1D2,2.5372,2.102444712159154,5.334322723690206,0.6519521020955232
28weeks,Mercedes,<I₄D1-1>,1.1643,1.2171623689535682,1.4171421461726394,0.17320076962390216
28weeks,Mercedes,<I₄D2-1>,1.0314,1.2171623689535682,1.2553812673387104,0.15343062251145984
28weeks,Mercedes,<I₂-3>·<E_z>,0.062301,2.812659719799658,0.17523151320323851,0.021416505769114674
3weeks,Lucid,I₈D1D2,0.48855,2.102444712159154,1.0271493641253546,0.525025493695699
3weeks,Lucid,exp(<I₄z-1>)-1,0.016099,28.846960479567045,0.4644072167605498,0.23738088808844002
3weeks,Lucid,<E_z>,0.4301,0.6089052047155441,0.2618901285481555,0.13386465380534945
3weeks,Lucid,<I₄z-1>,0.16608,1.2219007055306337,0.20293326917452764,0.1037289644105116
3weeks,Rosie,(<I₄D1-1>)³,0.023572,4.076445242791436,0.09608996726307974,0.1676176194139062
3weeks,Rosie,(<I₄D2-1>)³,0.023564,4.076445242791436,0.09605735570113741,0.1675607323888209
3weeks,Rosie,(<I₄θ-1>)³,0.0079588,10.765964267057774,0.08568415640865941,0.14946590916600933
3weeks,Rosie,<I₂-3>ln(1+<I₂-3>),0.0111,7.121809193036629,0.07905208204270658,0.1378970373195504
3weeks,Rosie,(<I₄z-1>)³,0.018348,4.13528823555714,0.0758742685460024,0.13235371632121348
3weeks,Rosie,I₈D1D2,0.030195,2.102444712159154,0.06348331808364566,0.11073916406426945
3weeks,Rosie,<I₁-3>·<E_θ>,0.01412,2.0310370663731896,0.02867824337718944,0.05002581456497261
3weeks,Rosie,<I₄z-1>·<I₄D2-1>,0.0075835,2.131066163257091,0.01616094024906015,0.028190854978869962
3weeks,Rosie,<I₄z-1>·<E_z>,0.012173,1.0675353402867276,0.012995107697310335,0.022668433326518692
3weeks,Rosie,I₂-3,0.0027677,3.6236374768423274,0.01002914144465651,0.017494654869807367
3weeks,Rosie,I₁-3,0.0034977,2.057106401083927,0.007195141059071252,0.012551075310150138
3weeks,Rosie,<E_θ>,0.0027694,0.711046410469208,0.001969171929153425,0.00343498827591137
8weeks,Martini,I₈D1D2,1.8125,2.102444712159154,3.8106810407884666,0.6305963717525868
8weeks,Martini,<E_θ>,1.1535,0.711046410469208,0.8201920344762315,0.13572642673186533
8weeks,Martini,<I₄z-1>,0.64354,1.2219007055306337,0.786341980037184,0.13012487643562898
