age,animal,k,loss,aic,bic,rmse_theta,rmse_z,rmse_combined,t_base_s,t_tweak_s,n_terms_used,terms
16weeks,Audi,8,22.983674757808387,7765.738592503188,8113.699196396143,4.644440601142537,1.1886320962632375,3.3899612651038056,84.34649300575256,61.886871099472046,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
16weeks,Audi,10,22.98050870829544,7769.40259198313,8128.961882672517,4.643372758158183,1.1914688989184337,3.3897277699171826,84.34649300575256,66.43514800071716,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
16weeks,Oreon,5,15.032437807872547,2444.7809326008296,2715.9260787879402,3.7541180408293067,0.9690384633194267,2.7415723415471414,44.94695234298706,37.10871887207031,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
16weeks,Oreon,8,14.781805017886752,2436.321449038884,2721.7373923937375,3.750000588584035,0.8481159139564266,2.7186214353865776,44.94695234298706,35.75871729850769,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
16weeks,Oreon,10,14.792700398331553,2440.9551047822047,2735.884912915553,3.7518365677637733,0.8464176079938923,2.7196231722732795,44.94695234298706,38.865485191345215,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
28weeks,Dodge,5,26.7314125959383,13641.800709308021,14002.204870548905,4.785442168815549,1.957282770797372,3.6559138799989737,122.09228730201721,103.34310412406921,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
28weeks,Dodge,8,26.69147618774125,13641.645361781215,14021.018163087409,4.780890408963565,1.9582040458597396,3.6531819136022543,122.09228730201721,95.11712574958801,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
28weeks,Dodge,10,26.679902358928913,13643.859780997474,14035.878342347209,4.778771938194914,1.9604186087797013,3.6523897901873035,122.09228730201721,82.57161712646484,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
28weeks,Lexus,5,37.37113797258888,10810.13474365547,11151.616925051676,5.086035904001077,3.391662830500818,4.322680763865687,82.99352502822876,86.25914001464844,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
28weeks,Lexus,8,37.16849438683776,10800.073204093223,11159.528131878704,5.07713967911951,3.3750773421579536,4.310945046439223,82.99352502822876,71.88755774497986,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
28weeks,Lexus,10,37.06977188345941,10796.216704701912,11167.653463413575,5.065302548540267,3.378236518542016,4.305216131825405,82.99352502822876,76.3295488357544,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
28weeks,Mercedes,5,25.436712813010367,3020.1017780847255,3293.711471977951,4.754687112786592,1.6821602992912024,3.5662804722154404,37.34320378303528,32.64710569381714,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
28weeks,Mercedes,8,25.35753296959944,3023.3021083236886,3311.3123124218205,4.746293419776902,1.6823292611679563,3.5607255559506013,37.34320378303528,35.65833902359009,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
28weeks,Mercedes,10,25.314380740415434,3025.7726333803644,3323.383177615101,4.741480987998845,1.683074205393491,3.5576945301989764,37.34320378303528,46.49329590797424,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
3weeks,Lucid,5,6.313206485399987,5243.920079782528,5582.023789005423,2.0625446439391406,1.4349620472883418,1.7766832139410764,105.0917158126831,91.69495105743408,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
3weeks,Lucid,8,6.631754467251684,5386.9643948974735,5742.863036184732,2.058934628791756,1.5467846203055673,1.820955033389304,105.0917158126831,71.54397487640381,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
3weeks,Lucid,10,6.6684140085347225,5406.31163227718,5774.073561607347,2.0584375079054134,1.5592463033731627,1.8259811073139176,105.0917158126831,67.17283201217651,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
3weeks,Rosie,5,1.3609758733756285,1187.4675534006376,1538.3395618114996,1.098263050070127,0.3934388722867767,0.8249169271434635,77.51493310928345,72.97446393966675,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
3weeks,Rosie,8,1.3534821038305038,1174.2365571182954,1543.5755133402556,1.0969870126697765,0.3874294746974519,0.8226427243434734,77.51493310928345,73.89933800697327,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
3weeks,Rosie,10,1.3604692313162645,1196.1707171645457,1577.820971927238,1.0956470433160341,0.40003348333495375,0.8247633694934156,77.51493310928345,72.06541895866394,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
8weeks,Martini,5,10.550309114382076,7090.575427085152,7432.192519786943,2.8033351025397537,1.6406161699954385,2.296770462451796,86.60885667800903,68.50247287750244,5,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³
8weeks,Martini,8,10.50578663266461,7084.053517380604,7443.650457066699,2.8002839506521635,1.6322366336976148,2.291919133898992,86.60885667800903,66.91768431663513,8,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>
8weeks,Martini,10,10.49648341609485,7085.43029370042,7457.013798042719,2.799208655107344,1.6312309221158685,2.2909041245864974,86.60885667800903,71.71116900444031,10,exp(<I₄z-1>)-1;I₈D1D2;I₂-3;<I₂-3>ln(1+<I₂-3>);(<I₄z-1>)³;(<I₄D1-1>)³;(<I₄D2-1>)³;<I₄D2-1>;<I₄z-1>·<I₄D2-1>;<I₄D1-1>
