lambda_z,sigma_z_kpa
1.447,7.617337649717661
1.4474561403508772,7.642893399266342
1.4487318295739349,7.686240680208071
1.449,7.700829001067584
1.4500075187969923,7.7258380647500315
1.451,7.77383864358672
1.4512832080200502,7.763001020071999
1.4525588972431076,7.8014190793711915
1.453,7.820171818311353
1.4538345864661653,7.840353261886701
1.455,7.863905882556323
1.455110275689223,7.875936965527248
1.4563859649122806,7.909817923933402
1.457,7.92553749369003
1.4576616541353382,7.944439805378804
1.4589373433583959,7.982500098605918
1.459,7.98876808784544
1.4602130325814535,8.02345887396522
1.461,8.023588735992622
1.4614887218045112,8.064418123245677
1.4627644110275688,8.103227558880143
1.463,8.101130536482463
1.4640401002506265,8.13936130714297
1.465,8.199900006615135
1.4653157894736841,8.174203825922284
1.4665914786967418,8.212616623850195
1.467,8.24518789358077
1.4678671679197994,8.25278191401302
1.469142857142857,8.292343207569228
1.47,8.282248310717332
1.4704185463659147,8.32902483869677
1.4716942355889724,8.36442263513723
1.472,8.3688410482465
1.47296992481203,8.401782273854971
1.474,8.441389936790008
1.4742456140350877,8.439311306227173
1.4755213032581453,8.477942134288279
1.476,8.49560707586355
1.476796992481203,8.516721614198863
1.478,8.570949863702586
1.4780726817042606,8.553669649164028
1.4793483709273183,8.589575636717965
1.48,8.604637709847774
1.480624060150376,8.624837235126629
1.4818997493734336,8.659484560951874
1.482,8.651746511139445
1.4831754385964913,8.693034552947335
1.484,8.713661039396793
1.484451127819549,8.727711024711738
1.4857268170426066,8.765977379463479
1.486,8.773588092401154
1.487002506265664,8.806884716101342
1.488,8.815220015693324
1.4882781954887219,8.846486764257167
1.4895538847117793,8.883329414370492
1.49,8.904084187405504
1.490829573934837,8.916920650604435
1.492,8.985993041599404
1.4921052631578946,8.949920454002967
1.4933809523809523,8.985173610320178
1.494,9.014684196765318
1.49465664160401,9.024981641481197
1.4959323308270676,9.065536606297094
1.496,9.03001837133457
1.4972080200501252,9.106336572662986
1.498,9.083630771006591
1.4984837092731829,9.146170647733232
1.4997593984962405,9.187343785876369
1.5,9.199832224166883
1.5010350877192982,9.229847482179474
1.502,9.295331016920903
1.5023107769423558,9.274623556598295
1.5035864661654135,9.320651861632095
1.504,9.359219881636408
1.5048621553884711,9.367424433922814
1.506,9.398985248761097
1.5061378446115288,9.410022635347064
1.5074135338345864,9.449520972070458
1.508,9.446382723187034
1.508689223057644,9.486661367270987
1.5099649122807017,9.523144157297939
1.51,9.53422894361034
1.5112406015037594,9.56014435165606
1.512,9.590666036559199
1.512516290726817,9.598207720647906
1.5137919799498747,9.635890775322045
1.514,9.645193577655109
1.5150676691729323,9.671526040347366
1.516,9.699819694726889
1.51634335839599,9.705679579965661
1.5176190476190476,9.741937504037967
1.518,9.755411164250356
1.518894736842105,9.781506476243205
1.52,9.79166884964384
1.520170426065163,9.822429861092536
1.5214461152882204,9.865408539287404
1.522,9.858607895463486
1.5227218045112783,9.911364116927407
1.5239974937343357,9.961075040244113
1.524,9.960991118096041
1.5252731829573936,10.015120273422081
1.526,10.03457286377532
1.526548872180451,10.072387920793206
1.5278245614035086,10.134041151137767
1.528,10.131462920141514
1.5291002506265663,10.199801201269535
1.53,10.241906306683362
1.530375939849624,10.268565946121251
1.5316516290726816,10.338558820395779
1.532,10.32773120473741
1.5329273182957392,10.406454443580373
1.534,10.4727030166507
1.534203007518797,10.472006260392831
1.5354786967418546,10.535142467955303
1.536,10.617482540813025
1.5367543859649122,10.597148546056962
1.538,10.671263917944538
1.5380300751879699,10.6577148529614
1.5393057644110275,10.71356628005227
1.54,10.735082820352643
1.5405814536340852,10.76348859731956
1.5418571428571428,10.80822285838848
1.542,10.822325100684813
1.5431328320802005,10.851720421306826
1.544,10.885094185623142
1.5444085213032581,10.896147731376772
1.5456842105263158,10.938902062612009
1.546,10.946375541621386
1.5469598997493734,10.978196035874944
1.548,11.021338223935082
1.548235588972431,11.016112438452872
1.5495112781954887,11.055653239594507
1.55,11.088474992709154
1.5507869674185464,11.09862154170383
1.552,11.111968041829964
1.552062656641604,11.143114899080828
1.5533383458646617,11.187163192562581
1.554,11.17977277273244
1.5546140350877193,11.228635128519487
1.5558897243107768,11.272633659352495
1.556,11.29042753966036
1.5571654135338346,11.322712893528614
1.558,11.370591727597406
1.558441102756892,11.381101602495047
1.55971679197995,11.443066035334885
1.56,11.407756697502112
1.5609924812030074,11.506284897740231
1.562,11.529269268479267
1.5622681704260653,11.570584894556143
1.5635438596491227,11.636010040697585
1.564,11.672185578874306
1.5648195488721803,11.701923124332831
1.566,11.776719794153369
1.566095238095238,11.769390315811089
1.5673709273182956,11.83550744264152
1.568,11.902629388854725
1.5686466165413533,11.901687524586752
1.569922305764411,11.965881557677612
1.57,11.974810285449529
1.5711979949874686,12.029076635496532
1.572,12.033054980879607
1.5724736842105262,12.090341603999253
1.573749373433584,12.148248484467363
1.574,12.159955260603752
1.5750250626566416,12.204883529629983
1.576,12.27191264727015
1.5763007518796992,12.263643565106445
1.5775764411027569,12.324675867316952
1.578,12.350808786535648
1.5788521303258145,12.38554862467339
1.58,12.429152162719584
1.5801278195488722,12.443656974012395
1.5814035087719298,12.49966880628804
1.582,12.531316714391014
1.5826791979949875,12.554041041700108
1.5839548872180451,12.607920706770651
1.584,12.61280316677526
1.5852305764411028,12.660986365263245
1.586,12.70093251067636
1.5865062656641604,12.712474321632488
1.587781954887218,12.764599681889537
1.588,12.781960753212473
1.5890576441102757,12.81978181045099
1.59,12.852034302010274
1.5903333333333334,12.878628585167414
1.591609022556391,12.938771303607616
1.592,12.910503067781578
1.5928847117794485,12.998876225644828
1.594,13.044946308752301
1.5941604010025063,13.061324108458559
1.5954360902255638,13.126261011821546
1.596,13.178140990380157
1.5967117794486216,13.193325899607567
1.597987468671679,13.264469150344423
1.598,13.262918907479687
1.599263157894737,13.3364318909375
