lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa
1.1181823633237609,11.360405200158276,1.415,10.138638594060561
1.118227340513814,11.4546108825341,1.415,10.508483218334655
1.1182799293906938,11.548816564909924,1.415,10.902264119978579
1.1183258699675294,11.643022247285748,1.415,10.965382376596317
1.1183713419139472,11.737227929661572,1.415,10.981011011888512
1.1184168222109083,11.831433612037394,1.415,10.943807486198018
1.1184730498915294,11.925639294413218,1.415,10.879965397628887
1.1186175276465287,12.019844976789042,1.415,10.915155444440922
1.118678634588355,12.114050659164866,1.415,10.688450124521687
1.1187347646178045,12.20825634154069,1.415,10.709592089966005
1.1187929167712019,12.302462023916512,1.415,10.811377422822963
1.1188760521035965,12.396667706292336,1.415,10.85547313882529
1.1189998006642556,12.49087338866816,1.415,11.268563568200054
1.1190772980435149,12.585079071043983,1.415,11.207547776159938
1.1191322075410246,12.679284753419807,1.415,11.17024146381397
1.1191765427074385,12.77349043579563,1.415,11.146457543119869
1.1192345505722474,12.867696118171454,1.415,11.071881156960934
1.1193433641287143,12.961901800547277,1.415,11.073316776294092
1.1194700669035904,13.056107482923101,1.415,11.248926381926369
1.1195507223566536,13.150313165298925,1.415,11.402587333174873
1.1196287472051414,13.244518847674748,1.415,11.537091410472671
1.1196972118206745,13.338724530050571,1.415,11.415085293402875
1.1197368472101,13.432930212426395,1.415,11.434584637831936
1.119763779868499,13.52713589480222,1.415,11.503014790188399
1.119788447966753,13.621341577178043,1.415,11.57144494254486
1.1198202263168402,13.715547259553865,1.415,11.592095395078601
1.119861950088356,13.80975294192969,1.415,11.462573489333405
1.1199064384165291,13.903958624305513,1.415,11.333051583588208
1.1199501036040147,13.998164306681337,1.415,11.285681545039493
1.1199932651102382,14.092369989057161,1.415,11.253607809139801
1.1200289578908673,14.186575671432983,1.415,11.298935535229626
1.1200553990524542,14.280781353808807,1.415,11.444963093431905
1.1200816701239888,14.374987036184631,1.415,11.590990651634183
1.1201179504290708,14.469192718560455,1.415,11.738188375821773
1.1201936573538014,14.56339840093628,1.415,11.922379168817226
1.1202331461949386,14.657604083312101,1.415,11.976131161617138
1.1202518341897287,14.751809765687925,1.415,11.925662513907428
1.1202637991955207,14.84601544806375,1.415,11.875193866197717
1.1202734081892447,14.940221130439573,1.415,11.824725218488009
1.1202850281478303,15.034426812815397,1.415,11.774256570778299
1.1203030260482072,15.12863249519122,1.415,11.72378792306859
1.1203352224447534,15.222838177567043,1.415,11.7304417660312
1.120411869609468,15.317043859942867,1.415,11.8390757576898
1.1205336044417367,15.411249542318691,1.415,11.731730364694123
1.1205894123423898,15.505455224694515,1.415,12.015651064240936
1.1206258619578504,15.599660907070337,1.415,12.29048756151771
1.1206538322509798,15.693866589446161,1.415,12.221276003640885
1.1206757254272324,15.788072271821985,1.415,12.152064445764061
1.1206956081005481,15.882277954197809,1.415,12.082852887887237
1.1207175468848654,15.976483636573633,1.415,12.013641330010412
1.1207449417668267,16.070689318949455,1.415,12.077842558689357
1.120776371266556,16.164895001325277,1.415,12.216975094167674
1.1208088986163998,16.259100683701103,1.415,12.356107629645996
1.1208398989196813,16.353306366076925,1.415,12.430037093181845
1.1208699937378916,16.447512048452747,1.415,12.396651388025424
1.1208996827183235,16.541717730828573,1.415,12.363265682869
1.1209289706882308,16.635923413204395,1.415,12.32987997771258
1.1209545175986715,16.73012909558022,1.415,12.416375907703706
1.120977763636531,16.824334777956043,1.415,12.507777330669748
1.1210070298700128,16.91854046033187,1.415,12.599178753635792
1.1210588515108986,17.01274614270769,1.415,12.533178788398835
1.1211389979680872,17.106951825083517,1.415,12.247154291123707
1.1211747361687106,17.20115750745934,1.415,12.217720650895583
1.121200317806609,17.29536318983516,1.415,12.188287010667459
1.121224348059335,17.389568872210987,1.415,12.158853370439333
1.1212537097332984,17.48377455458681,1.415,12.222334917103153
1.1212852603067738,17.577980236962635,1.415,12.345596229842453
1.1213158645969252,17.672185919338457,1.415,12.46885754258175
1.1213428259637226,17.76639160171428,1.415,12.584458378937384
1.1213651493378352,17.860597284090105,1.415,12.675407449429526
1.1213850930918716,17.954802966465927,1.415,12.766356519921665
1.1214052812601811,18.049008648841752,1.415,12.857305590413807
1.1214283378771122,18.143214331217575,1.415,12.948254660905945
1.1214561104724923,18.237420013593397,1.415,13.031433552982547
1.1214885371593915,18.331625695969223,1.415,13.109704946519836
1.12152874636116,18.425831378345045,1.415,13.187976340057123
1.1215845172415149,18.52003706072087,1.415,13.163986491651485
1.1216675447806645,18.614242743096693,1.415,13.060657086270595
1.1217561837293015,18.708448425472515,1.415,12.927670630092956
1.1217862971479347,18.80265410784834,1.415,13.082493838657747
1.121805587298728,18.896859790224163,1.415,13.237317047222534
1.1218314133028362,18.991065472599985,1.415,13.39214025578732
1.1218947133725363,19.08527115497581,1.415,13.592186503281388
1.1219618788979038,19.179476837351633,1.415,13.699285541367377
1.1219949037454484,19.27368251972746,1.415,13.572005671121913
1.1220215302912717,19.36788820210328,1.415,13.444725800876453
1.1220551092597788,19.462093884479103,1.415,13.367097643584442
1.1220995440536679,19.55629956685493,1.415,13.548289981827274
1.1221504653875463,19.65050524923075,1.415,13.7294823200701
