lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.01171557211613,2.7401276253102,1.171,4.19500532168734,0.653188116626287,1.45972068,8.68861333333332,25.762,106.0098865,142.851187346648
1.01135497458537,2.71380684326809,1.169,4.17823350920041,0.649510573617375,1.4525214,8.68551652173912,25.718,106.0098865,142.523483963188
1.01090234885662,2.70908036333472,1.169,3.74933644965033,0.722549282977092,1.4525214,8.68162937198067,25.718,91.4568179,127.893400925933
1.01059501067662,2.72087754589652,1.165,3.74302277765237,0.726919847279974,1.47038628,8.67898995169081,25.63,91.4568179,128.116415143416
1.01047465399423,2.71960953388989,1.165,3.55131592581128,0.765803322121674,1.47038628,8.67795632850241,25.63,84.91578235,121.554661161327
1.01053047843412,2.61932170729362,1.165,3.51189023476983,0.74584384254404,1.4158584,8.67843574879226,25.63,84.91578235,120.205196169839
1.01067513596097,2.61198641927395,1.163,3.69347335528,0.707189728481454,1.4158584,8.67967806763284,25.586,91.40778465,126.637838464301
1.01094703540948,2.6600437474928,1.163,3.71261335909943,0.716488222769861,1.44038928,8.68201314009661,25.586,91.40778465,127.294090311475
1.01156675194463,2.65746225768587,1.161,3.96947993056654,0.66947366006876,1.44038928,8.68733526570048,25.542,100.42990265,136.335710022113
1.0121819683234,2.68377002598411,1.161,3.98036487585585,0.674252263219224,1.4511882,8.69261874396135,25.542,100.42990265,136.709564222293
1.01278908442068,2.69007284115553,1.161,4.13984169490719,0.649800895639281,1.4511882,8.69783265700482,25.542,105.80394685,142.186953134127
1.01286077191182,2.60784527966842,1.159,4.10147903857157,0.635830454122388,1.4111922,8.69844830917874,25.498,105.80394685,141.11243754807
1.01315521714379,2.61081454459476,1.159,3.4344928918241,0.760174682792289,1.4111922,8.70097700483091,25.498,82.8073526,118.164608217919
1.01367363515882,2.61165249977589,1.157,3.43036790565867,0.761333061526072,1.41359196,8.70542917874395,25.454,82.8073526,118.226702028089
1.01437532204244,2.61873511240745,1.157,3.50118526798606,0.74795673806596,1.41359196,8.71145526570047,25.454,85.13152865,120.667403266135
1.01523665197366,2.68269348141982,1.157,3.52711148023343,0.760592200290272,1.44332232,8.71885236714975,25.454,85.13152865,121.56094315876
1.016165956767,2.68321591436607,1.155,3.78782549070769,0.708378968605745,1.44332232,8.72683323671497,25.41,94.27132645,130.772435351661
1.01718335212149,2.65986582560081,1.155,3.77949065999231,0.703763037108874,1.4251908,8.73557062801931,25.41,94.27132645,130.48468024954
1.01735694565386,2.65266128211054,1.153,3.11658611462013,0.851143265275652,1.4251908,8.73706144927535,25.366,71.6277716,107.784933368702
1.01766914400275,2.71297819405468,1.153,3.1406292764916,0.863832676579183,1.4558544,8.73974260869564,25.366,71.6277716,108.61644916996
1.01776198222888,2.71394292278734,1.153,3.42436440007756,0.792539170984803,1.4558544,8.74053990338163,25.366,81.42461495,118.429228366597
1.01852838136125,2.73646285714773,1.149,3.42419746446001,0.799154513006238,1.47358596,8.74712173913043,25.278,81.42461495,118.835721177901
1.01957210263057,2.74741839898357,1.149,3.07027772951125,0.894843607330899,1.47358596,8.7560852173913,25.278,68.9603628,106.553045491626
1.0208384691368,2.66998414277374,1.147,3.03661006775921,0.879264733764118,1.42999032,8.76696077294685,25.234,68.9603628,105.568376597726
1.02235250174944,2.68541061502222,1.147,2.80618533654658,0.956961245591501,1.42999032,8.77996328502415,25.234,60.69335685,97.5576131940352
1.02394359954008,2.6817416164569,1.147,2.80607582252755,0.955691073964405,1.41945804,8.79362763285023,25.234,60.69335685,97.5538059165298
1.02556023571819,2.68905901837259,1.145,2.86876200373653,0.937358698585005,1.41945804,8.80751130434782,25.19,62.8606265,99.9073102570708
1.02705410763024,2.75677053392382,1.145,2.89682421951503,0.951652680667433,1.44705528,8.8203406763285,25.19,62.8606265,100.884603073495
1.02891420226853,2.76670643296053,1.143,3.05527825493325,0.905549741171112,1.44705528,8.83631516908212,25.146,68.3327372,106.589094348729
1.02929115786774,2.79357538855758,1.143,3.06625057125857,0.911072113526239,1.45905408,8.83955246376811,25.146,68.3327372,106.971884118575
1.03037587556167,2.80488369144509,1.143,2.4147356480435,1.16156967066672,1.45905408,8.84886801932366,25.146,45.41459615,84.2425678908155
1.03206282668323,2.74931214909121,1.141,2.39106198402086,1.14982889087129,1.42599072,8.86335555555555,25.102,45.41459615,83.5628846299619
1.03601121888986,2.74539246529486,1.137,2.57993257775001,1.06413341533489,1.41279204,8.89726434782608,25.014,52.1909913,90.4807361449921
1.03919991719712,2.90001844742659,1.137,2.64416791184044,1.09676032087087,1.47505248,8.92464888888888,25.014,52.1909913,92.7335315727276
1.04181732065189,2.90829266294844,1.133,2.54593349132234,1.14232860868565,1.47505248,8.94712714975845,24.926,48.7782771,89.6035833153261
1.04381842769036,2.83727691340407,1.133,2.51926185952144,1.12623342535065,1.42865712,8.96431265700482,24.926,48.7782771,88.6648809531578
1.04594072394016,2.85900783378752,1.133,2.64198208957453,1.08214504748892,1.42865712,8.98253893719806,24.926,52.73035705,92.9839931355921
1.04683350996447,2.85868433082605,1.131,2.63918206570909,1.08317056559642,1.42865712,8.99020618357487,24.882,52.73035705,93.0497005598735
1.04764000549019,2.86453565268978,1.131,2.64218318788104,1.08415482538403,1.42745724,8.99713236714975,24.882,52.73035705,93.1555111907774
1.04805939756406,2.85934036535477,1.129,2.48266781059324,1.1517208839436,1.42745724,9.00073410628018,24.838,47.27785965,87.6865341840272
1.04839171161198,2.91273613117033,1.129,2.50430908238017,1.16308971271308,1.45238808,9.00358801932366,24.838,47.27785965,88.4508926335282
1.0483890790205,2.91270874327471,1.129,2.24246673500552,1.29888604268082,1.45238808,9.00356541062801,24.838,38.0301887,79.2027572825456
1.04825076671414,2.8291634397112,1.127,2.20625934653843,1.28233493680156,1.41612504,9.00237758454105,24.794,38.0301887,78.0622167695747
1.04833341208607,2.83000040635541,1.127,2.31752654726952,1.22112966071076,1.41612504,9.00308734299516,24.794,41.9528487,81.9990904451207
1.04857446296259,2.84427809140268,1.125,2.32056961643608,1.22568100144779,1.42679064,9.0051574879227,24.75,41.9528487,82.2527283739053
1.04930446708023,2.85171855146028,1.125,2.26382610819786,1.25968975317208,1.42679064,9.01142676328502,24.75,39.814999,80.2414513421613
