lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.21238120580668,6.79070407550285,1.037,0.917135606605831,7.40425300968757,3.10342296,9.62090415458936,22.814,-71.00995265,35.266554506319
1.21196081317081,6.78491962089867,1.037,0.566482649075497,11.9772770304116,3.10342296,9.61861468599033,22.814,-84.38622325,21.782919643083
1.21013437435721,6.72351239855146,1.037,0.539603719088048,12.4600927694021,3.08675796,9.60867207729468,22.814,-84.38622325,20.7493459352842
1.20823151318652,6.69753449208351,1.037,1.0088205080719,6.63897535636359,3.08675796,9.59832077294685,22.814,-65.8614614,38.7921079268494
1.20649642854544,6.76324061560052,1.037,1.03369788260221,6.54276334452276,3.12808716,9.58888869565217,22.814,-65.8614614,39.7487159557256
1.20475414000404,6.73920729783103,1.037,1.1968018825592,5.63101328301734,3.12808716,9.57942376811593,22.814,-59.14390615,46.0205432223276
1.20300035520908,6.53703566922795,1.037,1.11296069598439,5.87355482795921,3.04516212,9.56990280193236,22.814,-59.14390615,42.7966036490318
1.20126682836096,6.51382454481646,1.037,1.2244399283143,5.3198400298691,3.04516212,9.5604981642512,22.814,-54.4269075,47.083307158271
1.1994968327082,6.44498057415878,1.037,1.19473639078005,5.39447917038067,3.02396424,9.55090222222221,22.814,-54.4269075,45.9411190042654
1.19909503698966,6.43965077587394,1.037,0.828240029919465,7.77510207578365,3.02396424,9.54872483091787,22.814,-68.42099705,31.8482588060978
1.19898634017218,6.3698021879464,1.037,0.799846689610154,7.96377889749228,2.99183412,9.54813584541062,22.814,-68.42099705,30.756451578876
1.19920786566847,6.37270900726611,1.037,0.662001193327693,9.62643129875991,2.99183412,9.54933623188405,22.814,-73.77542795,25.4558878747941
1.19954054575547,6.35832011845987,1.037,0.656509695177813,9.68503613147364,2.983035,9.55113913043478,22.814,-73.77542795,25.2447236615314
1.20018599284192,6.36677005033936,1.037,1.01150351547731,6.29436275101325,2.983035,9.55463768115941,22.814,-60.28147755,38.8952774322339
1.19999242927843,6.45440144626612,1.037,1.04680529042307,6.16580896687822,3.02529744,9.55358840579709,22.814,-60.28147755,40.2527342372332
1.19991114960773,6.45332221065183,1.037,1.05495614594374,6.11714736718165,3.02529744,9.55314782608695,22.814,-59.94805145,40.5661585426711
1.1999385996097,6.19459499762262,1.037,0.950184148967687,6.51936259340113,2.90384292,9.55329661835748,22.814,-59.94805145,36.5373679085727
1.20074646047283,6.20489452600502,1.037,0.434377317756364,14.2845730482761,2.90384292,9.55767632850241,22.814,-79.97323075,16.703082120709
1.20156742703549,6.12319782106297,1.037,0.402067874867086,15.2292640218698,2.86078056,9.56212850241545,22.814,-79.97323075,15.4606892613363
1.20335800010337,6.14572727511543,1.037,0.423641115468158,14.506918829925,2.86078056,9.57184386473429,22.814,-79.56135145,16.2902436479022
1.20477427969058,6.19143320127492,1.037,0.443552749190652,13.9587303033797,2.8737126,9.57953314009661,22.814,-79.56135145,17.0559043756357
1.20587343495815,6.20535863035599,1.037,1.06081060139106,5.84963858979047,2.8737126,9.58550357487922,22.814,-56.08423135,40.7912795287617
1.20555946340972,6.13492079822816,1.037,1.03191295164712,5.94519216803677,2.84291568,9.58379787439613,22.814,-56.08423135,39.6800801243782
1.20490052278818,6.12666265052425,1.037,1.02129937321823,5.99889005240299,2.84291568,9.58021874396134,22.814,-56.33920425,39.2719568986813
1.20332599388108,6.10694821207909,1.037,1.01179264794278,6.03577049556153,2.84291568,9.57167014492753,22.814,-56.33920425,38.9063954237058
1.20123693402611,6.02123198341948,1.037,0.773064094632953,7.78878753420612,2.8150518,9.56033603864734,22.814,-64.10607105,29.7265822348215
1.19863814397022,5.98912358210336,1.037,0.757588722911839,7.90550783158942,2.8150518,9.54624927536231,22.814,-64.10607105,29.1315087948882
1.19643209212461,5.93453366644358,1.037,0.733403604214916,8.09177052353908,2.80211976,9.53430260869565,22.814,-64.10607105,28.2015200335497
1.19441508489608,5.90982106734092,1.037,0.439691470669753,13.4408362717132,2.80211976,9.52338879227052,22.814,-74.9424193,16.9074268893834
1.19261152155548,5.78187001981953,1.037,0.386299305512778,14.9673321626727,2.7517248,9.51363729468598,22.814,-74.9424193,14.8543415123066
1.19104582548209,5.76308858595183,1.037,0.694768773209106,8.29497353390307,2.7517248,9.50517758454105,22.814,-62.73314005,26.7158974454667
1.18974242174923,5.76807856796653,1.037,0.695564385982342,8.29265943485635,2.76159048,9.49813913043477,22.814,-62.73314005,26.7464910905408
1.18867156918321,5.75521537249734,1.037,0.741144241861952,7.76531078220172,2.76159048,9.49235922705313,22.814,-60.7423901,28.4991702583656
1.18789238536532,5.7572360165186,1.037,0.741228110713129,7.76715822471927,2.7670566,9.48815516908212,22.814,-60.7423901,28.502395261724
1.1870890201897,5.74758076218734,1.037,0.725870696669886,7.91818816843799,2.7670566,9.4838220289855,22.814,-61.1542694,27.9118576405357
1.18652392116559,5.59170666401573,1.037,0.662537647940899,8.43983233465177,2.69519712,9.48077487922704,22.814,-61.1542694,25.4765161283702
1.18621051464444,5.58804127431138,1.037,0.376160673163218,14.8554638296457,2.69519712,9.47908521739129,22.814,-72.0984908,14.464481356622
1.18616215960272,5.51672030189951,1.037,0.347385340661753,15.8806940194725,2.6610672,9.47882454106279,22.814,-72.0984908,13.3579854090315
1.18639213328245,5.51937565692628,1.037,0.208141399448161,26.5174332043487,2.6610672,9.48006434782608,22.814,-77.50195495,8.00364739498646
